id,dataset,method,nRF,wRF,KF
3422_100_tips_250,Cherry,window-rate+fastrfs,0.2371134020618556,43.71703927070001,9.646591692429745
5134_90_tips_250,Cherry,window-rate+fastrfs,0.0459770114942528,9.502371177000002,3.56142987393652
104_90_tips_250,Cherry,window-rate+fastrfs,0.1149425287356321,5.9029686879,1.3489635037186227
4646_80_tips_250,Cherry,window-rate+fastrfs,0.1168831168831168,2.842148513,0.7168000913447284
5245_90_tips_250,Cherry,window-rate+fastrfs,0.0459770114942528,1.654425310599999,0.3105433099654309
2511_90_tips_250,Cherry,window-rate+fastrfs,0.1494252873563218,8.622371295199997,1.7696786464772891
4816_80_tips_250,Cherry,window-rate+fastrfs,0.0389610389610389,3.6915875227,0.8930913207185098
3386_90_tips_250,Cherry,window-rate+fastrfs,0.057471264367816,8.251515973999998,3.675391453183747
3239_90_tips_250,Cherry,window-rate+fastrfs,0.1379310344827586,16.321952731999996,4.643883230306269
5265_80_tips_250,Cherry,window-rate+fastrfs,0.0259740259740259,3.720778461599999,0.904398342666394
4963_80_tips_250,Cherry,window-rate+fastrfs,0.1298701298701298,40.71416718249998,10.778256730315874
2766_80_tips_250,Cherry,window-rate+fastrfs,0.2077922077922078,31.755809166899997,8.477810789469437
2444_90_tips_250,Cherry,window-rate+fastrfs,0.0804597701149425,4.648538942899999,1.1769585697408151
1249_80_tips_250,Cherry,window-rate+fastrfs,0.0519480519480519,13.1319608185,3.0447979511220287
383_100_tips_250,Cherry,window-rate+fastrfs,0.3711340206185567,7.450306625999997,1.5459489258378496
4503_90_tips_250,Cherry,window-rate+fastrfs,0.0344827586206896,4.8917708784,1.3637005170795145
974_80_tips_250,Cherry,window-rate+fastrfs,0.0519480519480519,12.040618178700004,6.151016992695088
2922_80_tips_250,Cherry,window-rate+fastrfs,0.0519480519480519,12.3871692685,3.302920916180248
5145_100_tips_250,Cherry,window-rate+fastrfs,0.1752577319587628,19.8570855582,5.088927231360183
4635_90_tips_250,Cherry,window-rate+fastrfs,0.1379310344827586,8.774935109900001,2.164305308083619
1196_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,27.113150523100003,9.24429351722346
3064_100_tips_250,Cherry,window-rate+fastrfs,0.2371134020618556,58.1563911129,16.108989531444944
3933_100_tips_250,Cherry,window-rate+fastrfs,0.0824742268041237,3.6747097308,0.92019778440746
2106_90_tips_250,Cherry,window-rate+fastrfs,0.1839080459770115,42.27242352730002,12.723291337279788
1154_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,5.468467833099998,1.3138402191367429
948_90_tips_250,Cherry,window-rate+fastrfs,0.1494252873563218,17.404001848,3.563684141209829
1666_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,2.1968647627,0.4213064698679643
1859_90_tips_250,Cherry,window-rate+fastrfs,0.1494252873563218,22.918007112100003,7.949763139838636
5188_100_tips_250,Cherry,window-rate+fastrfs,0.0927835051546391,1.3877792784199994,0.2085842928019571
315_100_tips_250,Cherry,window-rate+fastrfs,0.0721649484536082,14.746430169399998,3.550110485698425
4922_80_tips_250,Cherry,window-rate+fastrfs,0.0389610389610389,2.56227134,0.4758142251113104
3180_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,26.86701096420001,10.397178706985205
1163_90_tips_250,Cherry,window-rate+fastrfs,0.0804597701149425,6.318452875199998,2.604308234454395
929_80_tips_250,Cherry,window-rate+fastrfs,0.0909090909090909,4.331661719499999,0.8832806033436862
128_100_tips_250,Cherry,window-rate+fastrfs,0.1752577319587628,11.252324074899995,2.0818950539336925
4369_100_tips_250,Cherry,window-rate+fastrfs,0.0927835051546391,3.0121706886,0.8606144721243201
5113_80_tips_250,Cherry,window-rate+fastrfs,0.1038961038961039,6.492737489399999,1.9311929056010115
2399_90_tips_250,Cherry,window-rate+fastrfs,0.0804597701149425,5.1823512867,1.226540727217774
1424_80_tips_250,Cherry,window-rate+fastrfs,0.0519480519480519,0.8547959124999998,0.1405514342367592
2761_90_tips_250,Cherry,window-rate+fastrfs,0.1724137931034483,31.17068960140001,9.639106834518596
2953_90_tips_250,Cherry,window-rate+fastrfs,0.0804597701149425,1.66364632933,0.4338209910677642
1619_80_tips_250,Cherry,window-rate+fastrfs,0.0909090909090909,1.2857256307999991,0.2366330408345686
5909_100_tips_250,Cherry,window-rate+fastrfs,0.0927835051546391,18.700628765,6.319636074780948
282_100_tips_250,Cherry,window-rate+fastrfs,0.0824742268041237,2.8272379354999995,1.376496187565689
34_100_tips_250,Cherry,window-rate+fastrfs,0.0824742268041237,9.1233674819,2.489386302142853
3885_80_tips_250,Cherry,window-rate+fastrfs,0.0909090909090909,14.4329309944,3.9420918718466833
1363_100_tips_250,Cherry,window-rate+fastrfs,0.134020618556701,29.36211545240001,10.71148341356128
733_90_tips_250,Cherry,window-rate+fastrfs,0.057471264367816,5.7221253219999975,1.3906413781025138
2721_80_tips_250,Cherry,window-rate+fastrfs,0.0779220779220779,4.1865851462000006,0.9506800924429236
750_100_tips_250,Cherry,window-rate+fastrfs,0.1030927835051546,52.41693890199996,13.920409722924504
1795_80_tips_250,Cherry,window-rate+fastrfs,0.1038961038961039,17.4916709722,4.140196720970978
963_100_tips_250,Cherry,window-rate+fastrfs,0.2474226804123711,132.2637568847,25.2781529158902
3230_100_tips_250,Cherry,window-rate+fastrfs,0.3195876288659793,54.79411060810002,17.870978170235638
3873_80_tips_250,Cherry,window-rate+fastrfs,0.0259740259740259,0.816265953,0.1499887949208315
3563_100_tips_250,Cherry,window-rate+fastrfs,0.1443298969072164,43.22387922960001,9.83040691565154
3218_100_tips_250,Cherry,window-rate+fastrfs,0.2061855670103092,12.54214588819999,3.168900135968501
1032_100_tips_250,Cherry,window-rate+fastrfs,0.1546391752577319,11.122759480000004,2.5381791877354263
5047_80_tips_250,Cherry,window-rate+fastrfs,0.0259740259740259,9.326960400200004,2.587793539879222
130_80_tips_250,Cherry,window-rate+fastrfs,0.0519480519480519,10.985225350000002,2.9822397229677438
5188_80_tips_250,Cherry,window-rate+fastrfs,0.0389610389610389,2.8906407519999995,1.0092476490001838
1556_90_tips_250,Cherry,window-rate+fastrfs,0.0919540229885057,11.2515465498,2.2964405995795887
4368_80_tips_250,Cherry,window-rate+fastrfs,0.0389610389610389,1.9344815125,0.4280895128697728
19_100_tips_250,Cherry,window-rate+fastrfs,0.2268041237113402,4.208416713400001,0.8993327017542284
4624_80_tips_250,Cherry,window-rate+fastrfs,0.1168831168831168,13.3694683992,3.7571700174572658
839_100_tips_250,Cherry,window-rate+fastrfs,0.0824742268041237,25.789716360200007,9.676696817514548
5251_100_tips_250,Cherry,window-rate+fastrfs,0.0927835051546391,5.300797598700001,1.0296458448293613
1569_90_tips_250,Cherry,window-rate+fastrfs,0.0804597701149425,19.4905719746,6.159810030295348
2855_90_tips_250,Cherry,window-rate+fastrfs,0.1149425287356321,2.0236979894000005,0.5035305950597286
5713_80_tips_250,Cherry,window-rate+fastrfs,0.0519480519480519,14.252852846100009,3.027341867847708
686_90_tips_250,Cherry,window-rate+fastrfs,0.0459770114942528,10.255773139,2.8636319379131985
2908_100_tips_250,Cherry,window-rate+fastrfs,0.1855670103092783,41.47806277380001,7.460769132709104
2481_80_tips_250,Cherry,window-rate+fastrfs,0.0519480519480519,11.667920276299997,2.8373161399856306
4719_90_tips_250,Cherry,window-rate+fastrfs,0.1724137931034483,3.204667053099999,1.2944822460148355
3049_100_tips_250,Cherry,window-rate+fastrfs,0.2474226804123711,64.40859217359997,18.605694511439825
2161_80_tips_250,Cherry,window-rate+fastrfs,0.1558441558441558,4.5610338908,1.5958096418322836
249_100_tips_250,Cherry,window-rate+fastrfs,0.2474226804123711,37.5077119304,12.10950763044751
4621_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,8.5974239415,1.9333990716823315
5864_80_tips_250,Cherry,window-rate+fastrfs,0.0779220779220779,11.4161222683,4.95451633808321
