id,dataset,method,metric,value
1763_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
4662_100_tips_250,Cherry,PF2_direct,nRF,0.1030927835051546
2551_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
1583_100_tips_250,Cherry,PF2_direct,nRF,0.0721649484536082
1171_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
3141_100_tips_250,Cherry,PF2_direct,nRF,0.1649484536082474
1975_100_tips_250,Cherry,PF2_direct,nRF,0.1237113402061855
2667_100_tips_250,Cherry,PF2_direct,nRF,0.134020618556701
4765_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
3659_100_tips_250,Cherry,PF2_direct,nRF,0.1649484536082474
4316_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
2002_100_tips_250,Cherry,PF2_direct,nRF,0.2474226804123711
3695_100_tips_250,Cherry,PF2_direct,nRF,0.0515463917525773
2107_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
359_100_tips_250,Cherry,PF2_direct,nRF,0.2268041237113402
5447_90_tips_250,Cherry,PF2_direct,nRF,0.160919540229885
5036_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
5638_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
825_100_tips_250,Cherry,PF2_direct,nRF,0.1134020618556701
4303_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
5614_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
1809_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
3953_100_tips_250,Cherry,PF2_direct,nRF,0.2577319587628865
2415_90_tips_250,Cherry,PF2_direct,nRF,0.1379310344827586
4707_100_tips_250,Cherry,PF2_direct,nRF,0.1649484536082474
4112_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
2112_90_tips_250,Cherry,PF2_direct,nRF,0.1149425287356321
3711_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
4453_100_tips_250,Cherry,PF2_direct,nRF,0.1030927835051546
737_90_tips_250,Cherry,PF2_direct,nRF,0.1034482758620689
5733_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
3110_80_tips_250,Cherry,PF2_direct,nRF,0.1168831168831168
4191_80_tips_250,Cherry,PF2_direct,nRF,0.1168831168831168
660_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
3343_90_tips_250,Cherry,PF2_direct,nRF,0.1264367816091954
