msa_id	split	fitted_model	best_model_base	has_G	has_I	has_F	gamma_alpha	p_invariant	log_likelihood	aic	bic	total_tree_length	mean_branch_length	median_branch_length	max_root_to_leaf_depth	median_root_to_leaf_depth	n_leaves	n_branches	gap_ratio	informative_site_ratio	num_sequences	alignment_length
2387	train	LG+G4	LG	True	False	False	1.2726		-3463.9276	6947.8552	6983.4235	9.9571514145	1.1063501571666667	0.8369253949	4.0441671774	2.2929046571000002	6	9	0.0592020592021	0.343629343629	6	259
2388	train	WAG+G4	WAG	True	False	False	2.2014		-16179.0574	32606.1149	33032.9747	53.8080034201	0.4374634424398374	0.313891647	4.641929226	2.998358169	63	123	0.431663574521	0.636363636364	63	231
2389	train	WAG+G4	WAG	True	False	False	1.2264		-10354.2144	20776.4287	20908.6506	24.1288812671	0.7311782202151514	0.2841639897	3.4727527446	2.23361204475	18	33	0.223607263773	0.731301939058	18	361
239	train	LG+G4	LG	True	False	False	0.4555		-3560.6352	7181.2705	7285.9386	4.3309289105	0.14934237622413793	0.1346697682	1.3959619818	0.5282205114	16	29	0.0278925619835	0.462809917355	16	242
2390	train	LG+G4	LG	True	False	False	1.2213		-3759.8317	7555.6635	7615.3896	10.8771214633	0.6398306743117647	0.5299549078	3.9606054228	1.21391526925	10	17	0.0759803921569	0.602941176471	10	204
2391	train	LG+G4	LG	True	False	False	0.6123		-3811.0768	7646.1537	7691.0312	6.8697124696	0.6245193154181817	0.602031365	1.7832814341	1.4619249508	7	11	0.0927882406982	0.279742765273	7	311
2392	train	LG+G4	LG	True	False	False	1.8858		-3079.9113	6183.8226	6224.7624	7.0278070783	0.6388915525727273	0.5313336517	2.1063037842	1.6906882767	7	11	0.122448979592	0.348214285714	7	224
2393	train	LG+G4	LG	True	False	False	0.9997		-2482.9538	4977.9075	4999.2716	7.1854267961	1.43708535922	1.5130859541	3.8938533074	2.32215941245	4	5	0.0365384615385	0.0730769230769	4	260
2396	train	LG+F+G4	LG	True	False	True	1.8071		-4544.6687	9243.3374	9441.5901	21.4214457223	0.3758148372333333	0.2620189418	3.4165740971000003	1.4541579634	30	57	0.0611683848797	0.927835051546	30	97
2397	train	LG+G4	LG	True	False	False	1.1113		-9946.6484	20049.2968	20297.9129	33.9291959991	0.4406389090792208	0.3161752212	4.066875893000001	3.2219081130000005	40	77	0.223044692737	0.748603351955	40	179
