id,dataset,method,nRF,wRF,KF
rep_001,60k,window-rate+fastrfs,0.0212765957446808,0.2815460871000002,0.0957904425549646
rep_025,60k,window-rate+fastrfs,0.0,0.1289070644,0.02653651616424
rep_024,60k,window-rate+fastrfs,0.0103092783505154,0.17859724545,0.0345552618592469
rep_006,60k,window-rate+fastrfs,0.2577319587628865,0.0216188881664999,0.0041027784542719
rep_029,60k,window-rate+fastrfs,0.0,0.1255958463,0.0234665405292179
rep_009,60k,window-rate+fastrfs,0.0103092783505154,0.1464575787000001,0.0247382929143451
rep_013,60k,softbioblock+weighted,0.0212765957446808,0.1054090608,0.024261523763836
rep_019,60k,softbioblock+weighted,0.0,0.0293275606,0.0062706682370672
rep_017,60k,softbioblock+weighted,0.0416666666666666,0.0443114835299999,0.0094986260457435
rep_014,60k,softbioblock+weighted,0.0138888888888888,0.0476726203,0.0089902237131041
rep_007,60k,softbioblock+weighted,0.0,0.0714482966,0.0137888108442007
rep_012,60k,softbioblock+weighted,0.0,0.2592685432000002,0.0486051095097767
rep_000,60k,softbioblock+weighted,0.0206185567010309,0.3741569679999998,0.0772778447581102
rep_028,60k,softbioblock+weighted,0.0425531914893617,0.0397297982999999,0.0094873041738749
rep_016,60k,softbioblock+weighted,0.0,0.5476825671999995,0.1360228931266916
rep_002,60k,softbioblock+weighted,0.0,0.03503712358,0.007651968399053
rep_020,60k,softbioblock+weighted,0.0,0.1985228113999998,0.035417706761703
rep_021,60k,softbioblock+weighted,0.0103092783505154,0.0996254732,0.0172044987140283
rep_011,60k,softbioblock+weighted,0.0277777777777777,0.5324256604000002,0.1196670865625978
rep_008,60k,softbioblock+weighted,0.0,0.0367723115,0.007521133072799
rep_015,60k,softbioblock+weighted,0.0,0.2333899050999999,0.0375628486842077
rep_027,60k,softbioblock+weighted,0.0103092783505154,0.1118440001999999,0.0182447109813598
rep_005,60k,softbioblock+weighted,0.0138888888888888,0.1375239768000001,0.0281588387651374
rep_018,60k,softbioblock+weighted,0.0309278350515463,0.0709909763,0.0107727045972537
rep_026,60k,softbioblock+weighted,0.0,0.3082267411000001,0.0760876945069206
rep_022,60k,softbioblock+weighted,0.0,0.0713892065,0.0144282723029897
rep_010,60k,softbioblock+weighted,0.0,0.0433282365,0.0097076289925609
rep_001,60k,softbioblock+weighted,0.0,0.1510445923000001,0.0389358691302977
rep_023,60k,softbioblock+weighted,0.0,0.0645154586999999,0.0109169051310124
rep_006,60k,softbioblock+weighted,0.1134020618556701,0.0084105201904999,0.0013286184873581
rep_029,60k,softbioblock+weighted,0.0138888888888888,0.1432129636000001,0.026336739043985
rep_009,60k,softbioblock+weighted,0.0103092783505154,0.1464575787000001,0.0247382929143451
rep_024,60k,softbioblock+weighted,0.0,0.17834382255,0.0345213089104125
rep_004,60k,softbioblock+weighted,0.0,0.4224421517000001,0.1223967588233809
rep_025,60k,softbioblock+weighted,0.0212765957446808,0.1689378106999999,0.041242368294047
rep_003,60k,softbioblock+weighted,0.0927835051546391,8.940198872899996,3.174819485725758
rep_005,60k,softbioblock+fastrfs,0.0138888888888888,0.1375239768000001,0.0281588387651374
rep_014,60k,softbioblock+fastrfs,0.0138888888888888,0.0476651968,0.0089881381999956
rep_022,60k,softbioblock+fastrfs,0.0,0.0713892065,0.0144282723029897
rep_017,60k,softbioblock+fastrfs,0.0416666666666666,0.0443114835299999,0.0094986260457435
rep_011,60k,softbioblock+fastrfs,0.0277777777777777,0.5324256604000003,0.1196670865625978
rep_001,60k,softbioblock+fastrfs,0.0,0.1510445923,0.0389358691302978
rep_007,60k,softbioblock+fastrfs,0.0,0.0714482966,0.0137888108442007
rep_028,60k,softbioblock+fastrfs,0.0425531914893617,0.0397297982999999,0.0094873041738749
rep_021,60k,softbioblock+fastrfs,0.0103092783505154,0.0996254732,0.0172044987140283
rep_013,60k,softbioblock+fastrfs,0.0212765957446808,0.1054090608000001,0.024261523763836
rep_009,60k,softbioblock+fastrfs,0.0103092783505154,0.1464575787,0.0247382929143451
rep_027,60k,softbioblock+fastrfs,0.0103092783505154,0.1118440001999999,0.0182447109813598
rep_018,60k,softbioblock+fastrfs,0.0309278350515463,0.0709909763,0.0107727045972537
