id,dataset,method,metric,value
rep_005,30k,fasttree,nRF,0.0138888888888888
rep_001,30k,fasttree,nRF,0.0
rep_025,30k,fasttree,nRF,0.0
rep_024,30k,fasttree,nRF,0.0
rep_022,30k,fasttree,nRF,0.0
rep_009,30k,fasttree,nRF,0.0
rep_017,30k,window-site+weighted,wRF,0.0582235779299999
rep_014,30k,window-site+weighted,wRF,0.0714507732999999
rep_005,30k,window-site+weighted,wRF,0.2364291594
rep_007,30k,window-site+weighted,wRF,0.1014289314
rep_011,30k,window-site+weighted,wRF,0.4905518685999998
rep_028,30k,window-site+weighted,wRF,0.0494741504
rep_022,30k,window-site+weighted,wRF,0.1336098859
rep_013,30k,window-site+weighted,wRF,0.1540155497999999
rep_001,30k,window-site+weighted,wRF,0.1853333068
rep_021,30k,window-site+weighted,wRF,0.1328103149999999
rep_000,30k,window-site+weighted,wRF,0.2196334879
rep_027,30k,window-site+weighted,wRF,0.1544749461
rep_018,30k,window-site+weighted,wRF,0.0859895474
rep_016,30k,window-site+weighted,wRF,0.550091306499999
rep_009,30k,window-site+weighted,wRF,0.2310687797
rep_004,30k,window-site+weighted,wRF,0.4866070161999994
rep_020,30k,window-site+weighted,wRF,0.1549652447999999
rep_023,30k,window-site+weighted,wRF,0.1097733977
rep_025,30k,window-site+weighted,wRF,0.2237011960999999
rep_019,30k,window-site+weighted,wRF,0.0355969928
rep_006,30k,window-site+weighted,wRF,0.0102471737895
rep_008,30k,window-site+weighted,wRF,0.050857077
rep_003,30k,window-site+weighted,wRF,9.132308025899995
rep_012,30k,window-site+weighted,wRF,0.3461037401
rep_029,30k,window-site+weighted,wRF,0.1874031502
rep_026,30k,window-site+weighted,wRF,0.1836801429999999
rep_002,30k,window-site+weighted,wRF,0.0409489270799999
rep_010,30k,window-site+weighted,wRF,0.0650041563999999
rep_024,30k,window-site+weighted,wRF,0.11594296995
rep_015,30k,window-site+weighted,wRF,0.2228176644999998
rep_013,30k,window-site+fastrfs,wRF,0.1540155497999999
rep_019,30k,window-site+fastrfs,wRF,0.0355969928
rep_014,30k,window-site+fastrfs,wRF,0.0714507733
rep_017,30k,window-site+fastrfs,wRF,0.0582235779299999
rep_007,30k,window-site+fastrfs,wRF,0.1014289314
rep_028,30k,window-site+fastrfs,wRF,0.0494741504
rep_012,30k,window-site+fastrfs,wRF,0.3462582146999998
rep_000,30k,window-site+fastrfs,wRF,0.2196334879
rep_016,30k,window-site+fastrfs,wRF,0.550091306499999
rep_021,30k,window-site+fastrfs,wRF,0.1331523817
rep_002,30k,window-site+fastrfs,wRF,0.0409489270799999
rep_011,30k,window-site+fastrfs,wRF,0.4905518685999997
rep_020,30k,window-site+fastrfs,wRF,0.1551263951000001
