label,source_run,id,n_tips,length,rf,norm_rf,weighted_rf,kf_score,MAE,MRE
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2041_40_tips_250,40,250,6.000000,0.081081,0.894190,0.262096,0.086327,0.117455
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2043_40_tips_250,40,250,16.000000,0.216216,7.338574,1.474232,0.421623,0.065915
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2045_40_tips_250,40,250,10.000000,0.135135,1.483289,0.405553,0.092414,0.077068
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2047_40_tips_250,40,250,2.000000,0.027027,1.842275,0.450920,0.264510,0.108728
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2051_40_tips_250,40,250,2.000000,0.027027,0.778557,0.198239,0.066147,0.071411
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2056_40_tips_250,40,250,0.000000,0.000000,2.942149,0.808902,0.382026,0.107553
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2062_40_tips_250,40,250,4.000000,0.054054,0.697700,0.218223,0.101685,0.113968
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2071_40_tips_250,40,250,10.000000,0.135135,2.444612,0.577236,0.270385,0.083344
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2076_40_tips_250,40,250,6.000000,0.081081,2.057787,0.523991,0.131039,0.071491
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2083_40_tips_250,40,250,8.000000,0.108108,0.472923,0.104886,0.044380,0.094360
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2086_40_tips_250,40,250,4.000000,0.054054,0.969585,0.216831,0.095729,0.073911
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2097_40_tips_250,40,250,2.000000,0.027027,1.219790,0.265184,0.073636,0.044837
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2098_40_tips_250,40,250,8.000000,0.108108,3.107650,1.144410,0.142513,0.066536
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2103_40_tips_250,40,250,10.000000,0.135135,1.652696,0.387203,0.087928,0.055156
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2120_40_tips_250,40,250,12.000000,0.162162,0.844044,0.216516,0.078173,0.127730
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2121_40_tips_250,40,250,4.000000,0.054054,0.907908,0.239687,0.121426,0.129150
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2122_40_tips_250,40,250,14.000000,0.189189,0.694126,0.175909,0.056336,0.101223
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2126_40_tips_250,40,250,14.000000,0.189189,6.688883,1.850331,0.643040,0.111728
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2130_40_tips_250,40,250,4.000000,0.054054,2.518010,0.639915,0.185310,0.072427
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2133_40_tips_250,40,250,10.000000,0.135135,3.049893,0.838300,0.247033,0.099007
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2134_40_tips_250,40,250,8.000000,0.108108,1.633159,0.596785,0.182116,0.122065
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2139_40_tips_250,40,250,4.000000,0.054054,1.261900,0.284801,0.092881,0.064260
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2142_40_tips_250,40,250,6.000000,0.081081,0.972943,0.216368,0.110986,0.114920
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2144_40_tips_250,40,250,8.000000,0.108108,3.957112,0.930652,0.404528,0.078075
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2145_40_tips_250,40,250,8.000000,0.108108,1.545268,0.341920,0.115275,0.064776
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2150_40_tips_250,40,250,8.000000,0.108108,1.100157,0.261389,0.075125,0.067809
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2161_40_tips_250,40,250,10.000000,0.135135,4.701243,1.110468,0.425973,0.119204
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2186_40_tips_250,40,250,12.000000,0.162162,1.563806,0.371448,0.105421,0.081927
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2192_40_tips_250,40,250,14.000000,0.189189,1.869200,0.398011,0.114916,0.077002
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2198_40_tips_250,40,250,8.000000,0.108108,1.121931,0.315558,0.089650,0.060889
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2200_40_tips_250,40,250,10.000000,0.135135,0.812275,0.210850,0.093746,0.171307
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2204_40_tips_250,40,250,10.000000,0.135135,1.204362,0.316011,0.112642,0.090357
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2208_40_tips_250,40,250,6.000000,0.081081,3.059602,0.722460,0.133074,0.038199
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2209_40_tips_250,40,250,2.000000,0.027027,2.124542,0.487760,0.132480,0.051369
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2229_40_tips_250,40,250,4.000000,0.054054,0.763051,0.177324,0.088692,0.086885
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2230_40_tips_250,40,250,6.000000,0.081081,1.835043,0.399605,0.121859,0.075564
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2242_40_tips_250,40,250,10.000000,0.135135,0.581090,0.127442,0.038226,0.070373
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2244_40_tips_250,40,250,14.000000,0.189189,1.393980,0.345640,0.205666,0.110369
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,224_40_tips_250,40,250,4.000000,0.054054,1.235738,0.261277,0.072282,0.048950
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2254_40_tips_250,40,250,10.000000,0.135135,1.989467,0.433254,0.146302,0.062933
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2256_40_tips_250,40,250,4.000000,0.054054,1.867118,0.392720,0.158994,0.073219
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,225_40_tips_250,40,250,14.000000,0.189189,1.883730,0.510944,0.096353,0.074898
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2261_40_tips_250,40,250,6.000000,0.081081,0.365046,0.095965,0.031557,0.090314
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2262_40_tips_250,40,250,12.000000,0.162162,1.188013,0.293509,0.085956,0.095499
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2266_40_tips_250,40,250,10.000000,0.135135,8.674994,1.937398,0.559103,0.081253
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2267_40_tips_250,40,250,4.000000,0.054054,1.630609,0.346859,0.112857,0.080606
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2279_40_tips_250,40,250,6.000000,0.081081,5.323228,1.367481,0.339402,0.085869
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2280_40_tips_250,40,250,2.000000,0.027027,0.560334,0.127828,0.088423,0.151224
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2286_40_tips_250,40,250,22.000000,0.297297,2.183939,0.391213,0.127053,0.061486
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2287_40_tips_250,40,250,4.000000,0.054054,4.437246,1.204655,0.458525,0.087957
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2297_40_tips_250,40,250,14.000000,0.189189,0.859536,0.196052,0.098769,0.116092
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2301_40_tips_250,40,250,8.000000,0.108108,2.247871,0.457915,0.129254,0.071809
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2304_40_tips_250,40,250,12.000000,0.162162,0.828526,0.206107,0.062411,0.081685
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2307_40_tips_250,40,250,4.000000,0.054054,1.405688,0.384595,0.121921,0.086804
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2315_40_tips_250,40,250,8.000000,0.108108,1.646139,0.454261,0.115032,0.074283
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2316_40_tips_250,40,250,10.000000,0.135135,2.904921,0.877433,0.208844,0.092889
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2327_40_tips_250,40,250,4.000000,0.054054,1.614306,0.399447,0.096301,0.058181
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2329_40_tips_250,40,250,10.000000,0.135135,1.497864,0.506791,0.164948,0.119698
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,232_40_tips_250,40,250,10.000000,0.135135,3.141264,0.684978,0.240377,0.075794
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2347_40_tips_250,40,250,12.000000,0.162162,1.492557,0.355273,0.231876,0.136104
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2349_40_tips_250,40,250,8.000000,0.108108,0.650468,0.164160,0.066908,0.096285
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2350_40_tips_250,40,250,12.000000,0.162162,0.684695,0.170475,0.050225,0.070327
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2351_40_tips_250,40,250,4.000000,0.054054,1.910208,0.430804,0.140498,0.057810
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2354_40_tips_250,40,250,2.000000,0.027027,2.569958,0.729929,0.160874,0.068589
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2365_40_tips_250,40,250,4.000000,0.054054,1.345431,0.364126,0.150631,0.109902
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2380_40_tips_250,40,250,2.000000,0.027027,1.509412,0.298254,0.111822,0.082536
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2382_40_tips_250,40,250,2.000000,0.027027,1.267914,0.292549,0.093046,0.081916
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2394_40_tips_250,40,250,4.000000,0.054054,7.722538,2.159964,0.613429,0.093653
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2399_40_tips_250,40,250,2.000000,0.027027,1.021690,0.251047,0.088134,0.081351
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2403_40_tips_250,40,250,8.000000,0.108108,0.839113,0.252545,0.156099,0.122265
